mapped_index	original_index	roi_name	cog_x	cog_y	cog_z	cog_voxel_i	cog_voxel_j	cog_voxel_k
1	9	AUD_left	-62.84269323671498	3.1788446054750352	12.7813003220612	117.27415458937196	61.22504025764896	92.54307568438004
2	51	PtPD_left	-47.57550335570468	3.067114093959731	31.089765100671144	105.06040268456375	75.87181208053691	92.45369127516778
3	54	RSD_left	-17.4079029005739	-13.238521793082056	34.70238095238095	80.92632232045912	78.76190476190476	79.40918256553435
4	56	RSGc_left	-5.473783954516733	12.484207201516114	30.596178142766902	71.37902716361339	75.47694251421352	99.98736576121289
5	63	S1_left	-58.58823529411765	8.487745098039227	20.269607843137265	113.87058823529412	67.2156862745098	96.79019607843138
6	69	SaM_left	-32.08543722745007	41.73901193481754	-4.176325453293551	92.66834978196006	47.65893963736516	123.39120954785405
7	70	SaP_left	-43.806191995359626	29.433729698375856	-7.824463457076561	102.0449535962877	44.74042923433875	113.54698375870068
8	78	V1_left	-40.462400303835935	-5.351785036080514	35.47426889479681	99.36992024306876	79.37941511583745	85.71857197113559
9	80	V2L_left	-57.230471928397066	-19.08767290480065	22.72579332790886	112.78437754271764	69.1806346623271	74.72986167615947
10	81	V2ML_left	-23.77811550151975	-6.661854103343472	40.972644376899694	86.0224924012158	83.77811550151975	84.67051671732523
11	86	Acumbens_right	13.4881799694967	66.53723945094049	-19.78901881037112	56.20945602440264	35.1687849517031	143.2297915607524
12	88	AIP_right	60.91394335511983	30.974945533769077	-18.25816993464052	18.26884531590414	36.393464052287584	114.77995642701524
13	109	GIDI_right	63.6968085106383	19.946808510638306	-6.569148936170215	16.04255319148936	45.74468085106383	105.95744680851064
14	139	RSD_right	15.129618841544612	-12.72969374167775	36.36879993342211	54.89630492676432	80.09503994673769	79.8162450066578
15	140	RSGb_right	6.821351931330469	-13.743741058655218	31.04077253218884	61.54291845493562	75.83261802575107	79.00500715307582
16	145	S1FL_right	38.20332238504295	48.5361925214755	32.72043961596766	36.43734209196564	77.17635169277413	128.8289540171804
17	153	SaA_right	21.104544730977395	56.38988379496976	0.702602674307542	50.11636421521808	51.562082139446034	135.1119070359758
18	154	SaM_right	31.557791707907185	42.8431210821511	-1.3327559661277917	41.75376663367425	49.93379522709777	124.27449686572088
19	160	Thalamus_A_right	12.838167938931292	27.261832061068706	-9.543893129770993	56.72946564885496	43.364885496183206	111.80946564885495
20	161	Thalamus_P_right	16.433615819209038	14.090049035284096	-7.115979106705048	53.85310734463277	45.30721671463596	101.27203922822729
21	162	V1B_right	41.0895479687202	-25.91502956322715	34.26425710471105	34.12836162502384	78.41140568376883	69.26797634941828
22	163	V1M_right	26.62829541350668	-24.447002527988445	41.273022751896	45.69736366919466	84.0184182015168	70.44239797760925
23	1	Acumbens_left	-15.355555555555554	66.01790123456792	-20.083333333333336	79.28444444444445	34.93333333333333	142.81432098765433
24	59	S1DZ_left	-45.27211208539839	45.26115135341212	24.39430041936714	103.21768966831873	70.51544033549371	126.2089210827297
25	68	SaA_left	-22.077917490816617	55.29704718847131	0.1476405764340285	84.66233399265329	51.11811246114722	134.23763775077705
26	122	IL_right	5.4328523862375135	70.20810210876803	-0.4092674805771352	62.65371809100999	50.67258601553829	146.16648168701445
27	14	Cg_left	-9.3876323387873	59.34380585728036	27.152653650488105	74.51010587102984	72.72212292039049	137.4750446858243
28	49	PrL_left	-6.822971548998936	73.11577976817702	14.37038988408851	72.45837723919915	62.49631190727081	148.49262381454162
